Agent	Subject	condition1	condition2	GameNb	Points	Entropy	Periodicity	Amplitude	MuIFI	StdIFI	CV	Resets	Deflations	Misses	GameSpeed	Temperature
Model	model_194171356751_16	medium	medium	10	2736	3.373577199	688	0.246944585	666.1826923	135.6708945	0.203654187	1	8	16	MMM	no
Model	model_194171356751_16	medium	medium	11	2712	3.067672577	640	0.35569234	641.338843	152.4705393	0.237737884	0	16	28	MMM	no
Model	model_194171356751_16	medium	medium	12	3188	2.878844989	688	0.37106726	683.2105263	125.2217914	0.183284341	0	1	3	MMM	no
Model	model_194171356751_16	medium	medium	13	3164	3.037619292	688	0.37649877	662.3671875	165.0092266	0.249120472	0	2	9	MMM	no
Model	model_194171356751_16	medium	medium	14	3376	2.973598664	672	0.316821831	651.986014	125.1765738	0.191992729	0	1	7	MMM	no
Model	model_194171356751_16	medium	medium	15	3188	2.984569035	672	0.3122953	648.6754386	143.4664516	0.221168312	0	0	4	MMM	no
Model	model_194171356751_17	medium	medium	1	892	2.934402005	672	0.094939584	745.2962963	263.0200584	0.352906703	4	25	77	MMM	no
Model	model_194171356751_17	medium	medium	2	1660	3.257430414	720	0.266033707	670.4698795	198.2198085	0.295643122	20	15	35	MMM	no
Model	model_194171356751_17	medium	medium	3	2120	3.011195327	704	0.187071435	657.3662791	166.4643604	0.253229236	8	14	29	MMM	no
Model	model_194171356751_17	medium	medium	4	2508	2.984535872	688	0.182247901	689.431694	238.9552042	0.346597359	6	15	29	MMM	no
Model	model_194171356751_17	medium	medium	5	2064	3.041019568	640	0.18025486	627.0902778	153.7165462	0.245126661	15	11	35	MMM	no
Model	model_194171356751_17	medium	medium	6	2476	2.865541306	640	0.189690655	658.84375	186.0389592	0.282371897	2	19	32	MMM	no
Model	model_194171356751_17	medium	medium	7	1232	2.737387753	576	0.10120967	596.057971	170.7961933	0.286542923	33	12	46	MMM	no
Model	model_194171356751_17	medium	medium	8	3376	2.862001279	672	0.356832608	656.6273292	138.2829407	0.210595774	0	2	6	MMM	no
Model	model_194171356751_17	medium	medium	9	2932	3.185029876	672	0.336254409	676.7706422	164.6155172	0.243236788	0	12	17	MMM	no
Model	model_194171356751_17	medium	medium	10	2336	2.90142544	656	0.328028189	633.1320755	126.0473662	0.199085422	17	10	18	MMM	no
Model	model_194171356751_17	medium	medium	11	2928	3.123853464	672	0.31013381	667.7165354	183.7076116	0.275128145	0	8	20	MMM	no
Model	model_194171356751_17	medium	medium	12	2960	3.10929514	688	0.307580703	667.4	132.649771	0.198756025	3	4	10	MMM	no
Model	model_194171356751_17	medium	medium	13	3400	2.834077736	656	0.384294749	634.8794326	120.2074728	0.189339057	0	1	1	MMM	no
Model	model_194171356751_17	medium	medium	14	3176	2.84936338	640	0.419823814	630.008	109.8893623	0.174425344	0	3	7	MMM	no
Model	model_194171356751_17	medium	medium	15	2904	3.265460516	624	0.317870846	627.0803571	139.0598624	0.221757644	2	11	26	MMM	no
Model	model_194171356751_18	medium	medium	1	1920	3.156109394	864	0.193944389	770.9421488	171.0763349	0.221905541	4	14	20	MMM	no
Model	model_194171356751_18	medium	medium	2	1932	3.011605477	736	0.109393789	721.2142857	209.531294	0.290525712	13	14	28	MMM	no
Model	model_194171356751_18	medium	medium	3	2096	3.321830005	608	0.055484661	709.2886598	207.8353313	0.293019391	6	14	27	MMM	no
Model	model_194171356751_18	medium	medium	4	2068	3.107772489	672	0.155638734	708.041958	226.0318956	0.319235171	2	20	34	MMM	no
Model	model_194171356751_18	medium	medium	5	2724	3.180688352	624	0.178785657	675.0588235	176.5010674	0.261460278	1	14	20	MMM	no
Model	model_194171356751_18	medium	medium	6	2544	2.852981989	592	0.296907004	613.5151515	153.7879042	0.25066684	7	7	14	MMM	no
Model	model_194171356751_18	medium	medium	7	2724	2.84406339	608	0.33857986	619.2771084	193.355208	0.312227281	2	12	21	MMM	no
Model	model_194171356751_18	medium	medium	8	3568	2.518720085	576	0.341796857	583.1125541	145.7841771	0.250010356	2	2	8	MMM	no
Model	model_194171356751_18	medium	medium	9	2960	2.856142598	592	0.320012898	586.4477612	138.7051295	0.236517451	3	7	14	MMM	no
